1,HaiTT,haitt123@gmail.com,2001-10-10,CNTT
2,Trần Minh Tiến,Tranminhtien123@gmail.com,2001-10-10,Hóa học
3,Giáp Hoàng,Abc@gmail.com,2001-10-10,Toán
4,Nguyễn Văn A,nguyenvana@gmail.com,2000-09-15,Vật lý
5,Phạm Thị B,phamthib@gmail.com,2001-03-22,Sinh học
6,Ngô Văn C,ngovanc@gmail.com,2000-12-10,Anh văn
7,Lê Thị D,lethid@gmail.com,2001-06-05,Tin học
8,Hoàng Văn E,hoangvane@gmail.com,2000-08-20,Ngữ văn
9,Đỗ Thị F,dothif@gmail.com,2001-01-30,Lịch sử
10,Bùi Văn G,buivang@gmail.com,2000-11-18,Địa lý
11,Nguyễn Thị H,nguyenthih@gmail.com,2001-05-25,Giáo dục công dân
12,Trần Văn I,tranvani@gmail.com,2000-07-14,Công nghệ
13,Lê Văn J,levanj@gmail.com,2001-02-28,Thể dục
14,Phan Thị K,phanthik@gmail.com,2000-10-07,Quốc phòng
15,Đặng Văn L,dangvanl@gmail.com,2001-09-12,Triết học
16,Vũ Thị M,vuthim@gmail.com,2000-06-21,Kinh tế
17,Trịnh Văn N,trinhvann@gmail.com,2001-08-16,Marketing
18,Cao Thị O,caothio@gmail.com,2000-05-11,Quản trị kinh doanh
19,Trương Văn P,truongvanp@gmail.com,2001-04-27,Kế toán
20,Hồ Thị Q,hothiq@gmail.com,2000-03-19,Tài chính ngân hàng
21,Đoàn Văn R,doanvanr@gmail.com,2001-07-09,Kỹ thuật phần mềm
22,Tạ Văn S,tavans@gmail.com,2000-02-05,Khoa học máy tính
23,Khúc Thị T,khucthit@gmail.com,2001-10-30,An toàn thông tin
24,Chu Văn U,chuvanu@gmail.com,2000-01-15,Mạng máy tính
25,Lương Văn V,luongvanv@gmail.com,2001-12-05,Trí tuệ nhân tạo
